#rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.724342e+00	2.509187e+00	3.896819e+00	1.924788e-01	-4.219599e-01	6.749587e-01	-5.738750e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.766233e+00	3.645493e+00	4.161467e+00	-4.335217e-03	-4.067825e-01	9.133915e-01	1.500652e-02
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.278622e+00	4.998165e+00	3.196776e+00	3.268608e-01	5.848726e-01	7.318055e-01	1.246868e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	2.075297e+00	2.000554e+00	4.555162e+00	-3.014281e-01	-6.063485e-01	-4.855395e-01	5.529321e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.904373e+00	3.861971e+00	1.168507e+00	5.524849e-01	-2.144778e-01	-4.552881e-01	-6.644340e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.410848e+00	3.265167e+00	3.776882e+00	-3.656205e-01	1.768766e-01	-7.955837e-01	-4.495362e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	5.109538e+00	1.617654e+00	1.201458e+00	8.536028e-01	4.556471e-01	-1.045733e-01	2.298095e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	1.211383e+00	1.765494e+00	4.581726e+00	1.681256e-01	2.035604e-01	-6.779308e-01	6.860807e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	4.210201e+00	4.966994e+00	1.285182e+00	3.263573e-01	7.623125e-01	-5.316920e-01	-1.722620e-01
3.968503e-01	3.968503e-01	7.937005e-01	1.000000e+00	1.000000e+00	3.179813e+00	3.014130e+00	2.896094e+00	-7.688844e-01	4.508207e-01	-3.390534e-01	3.010319e-01
